Building,Room,In-Charge,Mobile,Email
JC BOSE Block,JC301,Dr. A. Sharma,-89910,incharge.jc301@srmap.edu.in
JC BOSE Block,JC302,Dr. B. Pankaj,-89911,incharge.jc302@srmap.edu.in
JC BOSE Block,JC303,Dr. C. Pradeep,-89912,incharge.jc303@srmap.edu.in
JC BOSE Block,JC304,Dr. D. Vinod,-89913,incharge.jc304@srmap.edu.in
JC BOSE Block,JC305,Dr. E. Rao,-89914,incharge.jc305@srmap.edu.in
JC BOSE Block,JC306,Dr. F. Gupta,-89915,incharge.jc306@srmap.edu.in
JC BOSE Block,JC307,Dr. G. Kousik,-89916,incharge.jc307@srmap.edu.in
JC BOSE Block,JC308,Dr. H. Pranav,-89917,incharge.jc308@srmap.edu.in
JC BOSE Block,JC309,Dr. I. Tousif,-89918,incharge.jc309@srmap.edu.in
JC BOSE Block,JC310,Dr. J. Vinayak,-89919,incharge.jc310@srmap.edu.in
JC BOSE Block,JC311,Dr. K. Rupesh,-89920,incharge.jc311@srmap.edu.in
JC BOSE Block,JC312,Dr. L. Tomy,-89921,incharge.jc312@srmap.edu.in
JC BOSE Block,JC313,Dr. M. Halkarni,-89922,incharge.jc313@srmap.edu.in
JC BOSE Block,JC314,Dr. N. Javid,-89923,incharge.jc314@srmap.edu.in
JC BOSE Block,JC315,Dr. O. Sireesha,-89924,incharge.jc315@srmap.edu.in
JC BOSE Block,JC318,Dr. P. Pranav,-89927,incharge.jc318@srmap.edu.in
JC BOSE Block,JC319,Dr. Q. Ranjit,-89928,incharge.jc319@srmap.edu.in
JC BOSE Block,JC320,Dr. R. Sudeshna,-89929,incharge.jc320@srmap.edu.in
JC BOSE Block,JC401,Dr. S. Sujit,-90310,incharge.jc401@srmap.edu.in
JC BOSE Block,JC402,Dr. T. Kiran,-90311,incharge.jc402@srmap.edu.in
JC BOSE Block,JC403,Dr. U. Ravi,-90312,incharge.jc403@srmap.edu.in
JC BOSE Block,JC404,Dr. V. Prabhakar,-90313,incharge.jc404@srmap.edu.in
JC BOSE Block,JC405,Dr. W. Pramod,-90314,incharge.jc405@srmap.edu.in
JC BOSE Block,JC406,Dr. X. Jatin,-90315,incharge.jc406@srmap.edu.in
JC BOSE Block,JC407,Dr. Y. Ramana,-90316,incharge.jc407@srmap.edu.in
JC BOSE Block,JC408,Dr. Z. Sunitha,-90317,incharge.jc408@srmap.edu.in
JC BOSE Block,JC409,Dr. A. Kalyan,-90318,incharge.jc409@srmap.edu.in
JC BOSE Block,JC410,Dr. B. Mishra,-90319,incharge.jc410@srmap.edu.in
Unassigned,JC411,Dr. C. Rao,-90320,incharge.jc411@srmap.edu.in
X Lab,X101,Dr.Harish,-90320,incharge.x101@srmap.edu.in
